,movie_title
1,Avatar  
2,Pirates of the Caribbean: At World's End  
3,Spectre  
4,The Dark Knight Rises  
5,Star Wars: Episode VII - The Force Awakens              
6,John Carter  
7,Spider-Man 3  
8,Tangled  
9,Avengers: Age of Ultron  
10,Harry Potter and the Half-Blood Prince  
11,Batman v Superman: Dawn of Justice  
12,Superman Returns  
13,Quantum of Solace  
14,Pirates of the Caribbean: Dead Man's Chest  
15,The Lone Ranger  
16,Man of Steel  
17,The Chronicles of Narnia: Prince Caspian  
18,The Avengers  
19,Pirates of the Caribbean: On Stranger Tides  
20,Men in Black 3  
21,The Hobbit: The Battle of the Five Armies  
22,The Amazing Spider-Man
23,Robin Hood  
24,The Hobbit: The Desolation of Smaug  
25,The Golden Compass  
26,King Kong  
27,Titanic  
28,Captain America: Civil War  
29,Battleship  
30,Jurassic World  
31,Skyfall  
32,Spider-Man 2  
33,Iron Man 3  
34,Alice in Wonderland  
35,X-Men: The Last Stand  
36,Monsters University  
37,Transformers: Revenge of the Fallen  
38,Transformers: Age of Extinction  
39,Oz the Great and Powerful  
40,The Amazing Spider-Man 2  
41,TRON: Legacy  
42,Cars 2  
43,Green Lantern  
44,Toy Story 3  
45,Terminator Salvation  
46,Furious 7  
47,World War Z  
48,X-Men: Days of Future Past  
49,Star Trek Into Darkness  
50,Jack the Giant Slayer  
51,The Great Gatsby  
52,Prince of Persia: The Sands of Time  
53,Pacific Rim  
54,Transformers: Dark of the Moon  
55,Indiana Jones and the Kingdom of the Crystal Skull  
56,The Good Dinosaur  
57,Brave  
58,Star Trek Beyond  
59,WALL ·E  
60,Rush Hour 3  
61,2012  
62,A Christmas Carol  
63,Jupiter Ascending  
64,The Legend of Tarzan  
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe  "
66,X-Men: Apocalypse  
67,The Dark Knight  
68,Up  
69,Monsters vs. Aliens  
70,Iron Man  
71,Hugo  
72,Wild Wild West  
73,The Mummy: Tomb of the Dragon Emperor  
74,Suicide Squad  
75,Evan Almighty  
76,Edge of Tomorrow  
77,Waterworld  
78,G.I. Joe: The Rise of Cobra  
79,Inside Out  
80,The Jungle Book  
81,Iron Man 2  
82,Snow White and the Huntsman  
83,Maleficent  
84,Dawn of the Planet of the Apes  
85,The Lovers  
86,47 Ronin  
87,Captain America: The Winter Soldier  
88,Shrek Forever After  
89,Tomorrowland  
90,Big Hero 6  
91,Wreck-It Ralph  
92,The Polar Express  
93,Independence Day: Resurgence  
94,How to Train Your Dragon  
95,Terminator 3: Rise of the Machines  
96,Guardians of the Galaxy  
97,Interstellar  
98,Inception  
99,Godzilla Resurgence  
100,The Hobbit: An Unexpected Journey  
101,The Fast and the Furious  
102,The Curious Case of Benjamin Button  
103,X-Men: First Class  
104,The Hunger Games: Mockingjay - Part 2  
105,The Sorcerer's Apprentice  
106,Poseidon  
107,Alice Through the Looking Glass  
108,Shrek the Third  
109,Warcraft  
110,Terminator Genisys  
111,The Chronicles of Narnia: The Voyage of the Dawn Treader  
112,Pearl Harbor  
113,Transformers  
114,Alexander  
115,Harry Potter and the Order of the Phoenix  
116,Harry Potter and the Goblet of Fire  
117,Hancock  
118,I Am Legend  
119,Charlie and the Chocolate Factory  
120,Ratatouille  
121,Batman Begins  
122,Madagascar: Escape 2 Africa  
123,Night at the Museum: Battle of the Smithsonian  
124,X-Men Origins: Wolverine  
125,The Matrix Revolutions  
126,Frozen  
127,The Matrix Reloaded  
128,Thor: The Dark World  
129,Mad Max: Fury Road  
130,Angels & Demons  
131,Thor  
132,Bolt  
133,G-Force  
134,Wrath of the Titans  
135,Dark Shadows  
136,Mission: Impossible - Rogue Nation  
137,The Wolfman  
138,The Legend of Tarzan  
139,Bee Movie  
140,Kung Fu Panda 2  
141,The Last Airbender  
142,Mission: Impossible III  
143,White House Down  
144,Mars Needs Moms  
145,Flushed Away  
146,Pan  
147,Mr. Peabody & Sherman  
148,Troy  
149,Madagascar 3: Europe's Most Wanted  
150,Die Another Day  
151,Ghostbusters  
152,Armageddon  
153,Men in Black II  
154,Beowulf  
155,Kung Fu Panda 3  
156,Mission: Impossible - Ghost Protocol  
157,Rise of the Guardians  
158,Fun with Dick and Jane  
159,The Last Samurai  
160,Exodus: Gods and Kings  
161,Star Trek  
162,Spider-Man  
163,How to Train Your Dragon 2  
164,Gods of Egypt  
165,Stealth  
166,Watchmen  
167,Lethal Weapon 4  
168,Hulk  
169,G.I. Joe: Retaliation  
170,Sahara  
171,Final Fantasy: The Spirits Within  
172,Captain America: The First Avenger  
173,The World Is Not Enough  
174,Master and Commander: The Far Side of the World  
175,The Twilight Saga: Breaking Dawn - Part 2  
176,Happy Feet 2  
177,The Incredible Hulk  
178,Miami Vice              
179,The BFG  
180,The Revenant  
181,Turbo  
182,Rango  
183,Penguins of Madagascar  
184,The Bourne Ultimatum  
185,Kung Fu Panda  
186,Ant-Man  
187,The Hunger Games: Catching Fire  
188,The Twilight Saga: Breaking Dawn - Part 2  
189,Home  
190,War of the Worlds  
191,Bad Boys II  
192,Puss in Boots  
193,Salt  
194,Noah  
195,The Adventures of Tintin  
196,Harry Potter and the Prisoner of Azkaban  
197,Australia  
198,After Earth  
199,Dinosaur  
200,Harry Potter and the Deathly Hallows: Part II  
201,Night at the Museum: Secret of the Tomb  
202,Megamind  
203,Harry Potter and the Sorcerer's Stone  
204,R.I.P.D.  
205,Godzilla Resurgence  
206,Pirates of the Caribbean: The Curse of the Black Pearl  
207,Harry Potter and the Deathly Hallows: Part I  
208,The Hunger Games: Mockingjay - Part 1  
209,The Da Vinci Code  
210,Rio 2  
211,X-Men 2  
212,Fast Five  
213,Sherlock Holmes: A Game of Shadows  
214,Clash of the Titans  
215,Total Recall  
216,The 13th Warrior  
217,The Bourne Legacy  
218,Batman & Robin  
219,How the Grinch Stole Christmas  
220,The Day After Tomorrow  
221,Mission: Impossible II  
222,The Perfect Storm  
223,Fantastic 4: Rise of the Silver Surfer  
224,Life of Pi  
225,Ghost Rider  
226,Jason Bourne  
227,Charlie's Angels: Full Throttle  
228,Prometheus  
229,Stuart Little 2  
230,Elysium  
231,The Chronicles of Riddick  
232,RoboCop  
233,Speed Racer  
234,How Do You Know  
235,Knight and Day  
236,Oblivion  
237,Star Wars: Episode III - Revenge of the Sith  
238,Star Wars: Episode II - Attack of the Clones  
239,"Monsters, Inc.  "
240,The Wolverine  
241,Star Wars: Episode I - The Phantom Menace  
242,The Croods  
243,Asterix at the Olympic Games  
244,Windtalkers  
245,The Huntsman: Winter's War  
246,Teenage Mutant Ninja Turtles  
247,Gravity  
248,Dante's Peak  
249,Teenage Mutant Ninja Turtles: Out of the Shadows  
250,Fantastic Four  
